Feature,001_FC_S002_SOURCE_Female_Control,002_FC_S004_SOURCE_Female_Control,003_FC_S006_SOURCE_Male_Control,004_FC_S007_SOURCE_Female_CD,005_FC_S011_SOURCE_Female_CD,006_FC_S012_SOURCE_Male_Control,007_FC_S014_SOURCE_Female_Control,008_FC_S015_SOURCE_Male_Control,009_FC_S016_SOURCE_Female_CD,010_FC_S018_SOURCE_Female_Control,011_FC_S020_SOURCE_Male_CD,012_FC_S022_SOURCE_Female_Control,013_FC_S024_SOURCE_Male_CD,014_FC_S025_SOURCE_Male_CD,015_FC_S026_SOURCE_Male_Control,016_FC_S028_SOURCE_Female_Control,017_FC_S030_SOURCE_Female_Control,018_FC_S031_SOURCE_Male_Control,019_FC_S032_SOURCE_Female_Control,020_FC_S033_SOURCE_Male_CD,021_FC_S035_SOURCE_Male_CD,022_FC_S036_SOURCE_Male_CD,023_FC_S040_SOURCE_Male_CD,024_FC_S041_SOURCE_Male_Control,025_FC_S042_SOURCE_Female_CD,026_FC_S044_SOURCE_Male_Control,027_FC_S045_SOURCE_Female_CD,028_FC_S047_SOURCE_Female_Control,029_FC_S050_SOURCE_Female_Control,030_FC_S051_SOURCE_Male_Control,031_FC_S052_SOURCE_Male_CD,032_FC_S056_SOURCE_Male_CD,033_FC_S057_SOURCE_Male_Control,034_FC_S060_SOURCE_Male_CD,035_FC_S061_SOURCE_Female_Control,036_FC_S062_SOURCE_Control,037_FC_S063_SOURCE_Female_CD
CDP,0,0,0.0011437641308319946,0,0,7.982564254273055e-4,4.881134792231108e-4,0.0018401207736685793,0,0,0,0.0024413401706611416,0,0,0.0014937753425331064,0.0010320257101871589,0,0,0,9.527463239543846e-4,0,0,0,3.457970070242344e-4,0,0,0.00517691349395935,0,0.001057879117192423,0.0030396224780520733,0.0013273801629933542,0,5.270849858024127e-4,0,0,9.86816504098653e-4,5.865103675788074e-4
Cholate,0.04482762300777699,0.05077355945471404,0.6958682868059476,0.6183357425911395,5.52341995701199,5.499975761675987,0.055092318465913774,0.7364951482460244,0.5398756482155421,2.309627598667055,8.525801165678482,0.03017173325784374,5.180454692757841,1.4812014309465447,1.4540314192177743,0.37610090789536593,0.041758438513232056,0.04624748080357886,0.3578905930978817,1.5287119006241134,0.18907082320054797,2.8234612645730826,2.4209451925875016,3.9941004032661507,1.8679923201267397,3.120166998609154,0.7557336996738134,0.09807567258370233,0.1637465222212346,0.03891067150369543,2.3761370983748598,0.1749170381278425,0.22227009828673525,7.932218279479223,0.024990597224575344,0.3495861879553331,0.24930323745029612
Choline,0.2557274898803104,1.6327815489131414,0.5115152703265828,0.4894608609079122,3.321777037084134,0.4833312032987989,0.7295160313748322,0.4819994425693876,0.3748181251942299,0.05628409830653346,1.0459702405698235,0.1473157782448999,0.4177786042546647,1.4306383298901364,0.31351783898001623,0.42095697947921695,0.7470558824297397,0.16898753035863068,0.3883844571622946,0.3496386150008406,0.23366699800187285,1.3943935894338997,1.891234107713655,0.7185366554619507,0.9917432344758901,1.9608784314463605,0.22165373873114638,0.4491526557450989,0.10997256355038271,0.6868002665594645,1.1620324448799775,0.15153392529654625,0.32041851831234147,0.3277016818163231,0.19370849378952085,1.8704652647511446,0.3192953798448629
Cinnamaldehyde,0.003320472683398294,0.001423650886867925,0.0013705498981306363,0.0030208564362607746,5.773013650472032e-4,0.002403945152927277,0.0037921399819397022,0.001309793064709057,0.002136453176324238,0.002993442641270191,0,0.0024643762472620753,0.0013324974301666694,0,0,0,0.0021109264510812444,0.003084752249616012,0.0015360525596523822,0.003994559448580363,0,0.0010429703698529877,0,0,6.558338816327045e-4,0.0011915390136243873,0.0014640890974052933,0.001881724786599482,0,0.003049349528223292,0,0,0.0014743534554901919,0,0.002520501457401253,0,0.0077725913163826325
Cinnamate,0.00271074709022606,0.0015242349281528289,0.011287398279569505,0.0015091585587178602,0.007170159345020674,0.004925836633566572,0.002972963553233049,0.003896828844403533,0.0016417225264266516,0.0025907324151556764,0.00785855470066539,0.0019106633687459807,0.0022860620650433207,0.0031181598178272986,0,0.0012940217355964974,0,0.0029233457273667783,0.0022801640988628575,0.0020819990699358915,0,9.945822736017091e-4,0.0053863923629923665,0.0020839020674406055,0.005114702906222027,0,0.002031522565118617,0.002031311012111309,0.0030451603092417354,0.0010950405241728558,0,0.004384995288688979,0.001433873788100144,0.013689019328598218,0.002419827024832384,0.0014314882934309814,9.880876232159041e-4
cis-10-Nonadecenoic acid,0.019664703194190038,0.026562277944555353,0.028441671735939873,0.03402260878252094,0.02737822625984879,0.03604931979776769,0.006478337488394126,0.008313072156874112,0.024117495581860427,0.050044892033837954,5.070385728279882e-4,0.028228233857627284,0.004215275626186542,0.020562102078007766,0.012350532940008055,0.020861048103203012,0.04041104495139638,0.055963229657395065,0.04544318649229119,0.016111603370851265,0.04460541931375096,0.03684161208945685,0.019416952845122345,0.013014397948826674,0.018438282953593454,0.004846580295631244,0.02257039030834317,0.05202589891051515,0.026206783315865134,0.027105028104052596,0.032072272990105906,0.03469366102141906,0.0172694321846063,0.03492179007714872,0.10236999283337357,0.015228063820361338,0.01692643253333915
cis-11-Eicosenoic acid,0.050894456334399756,0.0630783221088082,0.12288239386338458,0.09896432759337556,0.025862677325338014,0.06457516958470642,0.04184542609034525,0.0159892492141231,0.05768286394704842,0.07459253707965985,0.014046403899957717,0.13943930026223775,0.0452554388989946,0.03534150513545837,0.025036649241587935,0.06330585765077794,0.04196582109715763,0.17607344808098124,0.0867882424252105,0.025932718864924993,0.17521744046876045,0.023534975413853642,0.0347044436734961,0.03593085954885485,0.027067858774942378,0.03383947461240429,0.05977228281333892,0.06635086562862084,0.04806082845124865,0.1366390803836917,0.037433034870330326,0.10230461560417642,0.0604597513297196,0.1384957112929762,0.15898238658040814,0.019474696387007367,0.054823822108973554
Cis-4-Hydroxy-D-Proline,0.08458140271765399,0.04933269388278762,0.17223411364264674,0.06745732810124018,0.056621893692726445,0.40692596122407315,0.07604795936408203,0.25560480952996206,0.051522615854752575,0.04209703411297614,0.49699182404808706,0.1759887668433071,0.047441397063755185,0.033044509441480546,0.06458224216242776,0.025167098573931256,0.02751618665095871,0.024038325347296545,0.052797728788531055,0.10989655645896793,0.0157900081072443,0.08259052129104998,0.0439588156220137,0.07754938139551233,0.018812414257406634,0.0672831036877357,0.018399078726070904,0.027252483004358605,0.024493706857484126,0.045281367050176886,0.020700407102558507,0.033755369657323286,0.21532207801255726,0.21798420658083353,0.02483852110936295,0.1671256455682518,0.0237494551648382
cis-5-Dodecenoic acid,0.02173398230765183,0.024558019579870062,0.004368989442815854,0.03992659133644817,0.008443032304558347,0.036062720534544145,0.020623537497879204,0.02125627483258702,0.020046399976775178,0.05181232400049642,0.013561859362990196,1.513319441126659e-4,0.016698352160311708,0.018381877883331933,0.01234031476897982,0.01655455528950054,0.04946345739656439,0.05827699274011253,0.02504327742405784,0.009934705132827302,0,0.013798001291545918,0.023948671475644234,0.014280972043059111,0.009800576175947508,0.028292703260363455,0.0011792249147068213,0.02499170383686396,0.022540594390635903,2.362790636195142e-4,0.01898116319607528,0.025996330748649894,0.016020695594033067,0.017374446045542915,0.03368825995464953,0.029725717877157522,0.003048717166553694
"cis-7,10,13,16-Docosatetraenoic acid",0,0.007996938835131208,0.01808362519150021,0.02532876070095225,0.029466396503683566,0.02471495549400196,0,0.013092427119615382,0.07643015597284275,0,0.015605515268892837,0,0.03210903040202732,0.056328254710641734,0.0020760633482744474,0.024923045073078444,0.007380090907039942,0.034016173146641716,0.01494602534242071,0.018544191065759504,0,0.0972594378048703,0.022427393445396977,0.07838230402866803,0.03554491759290406,0,0.010741981106529306,0.04636053967043974,0,0.0018461016774745393,0.028219434954497205,0.03259650926978366,0.0028238233603231143,0.15800821166775228,0.013260227685681783,0,0.005458268854927965
cis-aconitate,0.0019923953920650272,0.0010545819605234986,8.170087498975129e-4,0.0021260177403832218,0.004247956127261335,0.0012887658850082861,9.587494408702543e-4,0.0013412243439876964,0.001062796549152913,0.002921718974285054,5.232764841331432e-4,7.794705251823002e-4,9.255005412926527e-4,5.858634453728271e-4,6.583297163562622e-4,5.80373950724218e-4,0.0013095799211648728,0.003870121088414202,7.558528069760006e-4,5.639178354416677e-4,0.0012842757285238095,6.648295685034776e-4,5.340999754436465e-4,0.001231752490457743,3.0606095212337453e-4,0.0021921542716583603,3.324039346909117e-4,0.002989799458841588,0.0011409762348977988,8.284941965799212e-4,2.8413514269857136e-4,0.00124533144098273,7.493769817500248e-4,0.0010589741642631247,0.0029873149020993904,0.0031501417367497155,4.962793496338202e-4
Citramalate,0.14785980923527864,0.04037439808489255,0.09820567881680452,0.1891375557954472,0.08503787154650436,0.17388795701129364,0.3835599752589324,0.09002113415024388,0.3168759741036165,0.4247056487828721,0.121570129045882,0.12494806291892062,0.21412389207029514,0.05661434820191205,0.09144470597860567,0.08215744846579526,0.12146892388489042,0.12526080639123302,0.15308197685705566,0.16983848354957867,0.3768629174414332,0.2650090836046665,0.13956264624825748,0.32715495765446356,0.17393496711343717,0.1021114270382256,0.12304869143994795,0.10092952475821662,0.21019559150396308,0.12454917505159628,0.0496423877278711,0.07722688840001705,0.14946492076704512,0.06029636076305264,0.14354307058716853,0.16972696001735232,0.08503413549500399
Citrate,0.0891435347295062,0.05577779674297702,0.12212139844521555,0.30976872269018835,0.021159997403611044,0.04949744882369886,0.08257539464264954,0.042928158411980034,0.10629276454028332,0.17395624721454694,0.024963334414826958,0.03122704773718285,0.022348702502647776,0.06547328972388973,0.02118675119712285,0.0960359472054254,0.01986638582590572,0.00997911947792914,0.03373296961240819,0.018773909204511826,0.029481374256653602,0.00965360866197451,0.05051234041283288,0.26894947439078604,0.049135544175313815,0.6464434389383606,0.013371740121946566,0.0340424565399836,0.043615584321517895,0.0253545299331855,0.01189521488507022,0.024449296866831685,0.031896394169596935,0.03959857201114431,0.03799523364573236,1.4867800822380892,0.031004122417082714
Citrulline,1.2734079467650747,0.6304175864529504,2.5399859668264346,1.9592780999959278,0.9868767825290654,0.6833303219051985,0.9852226815474537,0.6285272731104814,1.6161882462503492,0.29439109505259864,0.8005935240941989,1.1065273247699148,0.6584190803053516,1.1480798239866792,1.0083391798488477,1.5665120383898727,1.1205838236446095,1.4775227256516983,1.4390340110267217,0.7937051771186966,1.3008263637324493,1.1640585915345165,0.49867332599451947,3.3518330017359155,1.1875811390053064,1.5428450075995541,1.2560378528098297,1.6054334120172813,1.193010556126141,0.8574843564736508,1.4004683474850672,0.5831695348218484,1.8618950771057747,1.4363746614192106,1.3616819535788367,0.359063800067527,1.0001070162082895
